index,prime,log_prime,sqrt_prime,prime_mod_4,prime_mod_6,is_twin_prime
270,1733,7.457609289715606,41.6293165929973,1,5,False
271,1741,7.462214939768189,41.72529209005013,1,1,False
272,1747,7.465655310134056,41.79712908801273,3,1,False
273,1753,7.469083884921234,41.86884283091664,1,1,False
274,1759,7.472500744737558,41.94043395102154,3,1,False
275,1777,7.482681828154651,42.15447781671598,1,1,False
276,1783,7.48605261786314,42.22558466143482,3,1,False
277,1787,7.488293515159428,42.2729227756965,3,5,True
278,1789,7.489412083508719,42.2965719651132,1,1,True
279,1801,7.496097345175956,42.43819034784589,1,1,False
280,1811,7.501634457883413,42.555845661906424,3,5,False
281,1823,7.508238774678663,42.69660408041839,3,5,False
282,1831,7.5126175446745105,42.790185790669334,3,1,False
283,1847,7.52131798019924,42.9767378938886,3,5,False
284,1861,7.528869256642251,43.139309220245984,1,1,False
285,1867,7.532088143541722,43.2087954009366,3,1,False
286,1871,7.534228326274089,43.255057507764334,3,5,True
287,1873,7.5352967024440884,43.278170016764804,1,1,True
288,1877,7.537430036586509,43.32435804486894,1,5,True
289,1879,7.538494999413465,43.347433603386484,3,1,True
290,1889,7.543802867501509,43.46262762420146,1,5,False
291,1901,7.550135342488429,43.60045871318328,1,5,False
292,1907,7.553286605600419,43.669211121796096,3,5,False
293,1913,7.556427969440253,43.73785545725808,1,5,False
294,1931,7.565793282428515,43.94314508543966,3,5,True
295,1933,7.566828479208331,43.965895873961216,1,1,True
296,1949,7.575071699507561,44.14748010928823,1,5,True
297,1951,7.576097340623111,44.170125650715555,3,1,True
298,1973,7.587310506022615,44.41846462902562,1,5,False
299,1979,7.590346945602565,44.48595283907045,3,5,False
300,1987,7.594381242551817,44.57577817604534,3,1,False
301,1993,7.597396320212795,44.64302857109943,1,1,False
302,1997,7.599401333415815,44.68780594300866,1,5,True
303,1999,7.6004023345004,44.710177812216315,3,1,True
304,2003,7.602401335665818,44.75488800120049,3,5,False
305,2011,7.606387389772652,44.844174649557324,3,1,False
306,2017,7.6093665379542115,44.91102314577124,1,1,False
307,2027,7.614312146452,45.02221673796171,3,5,True
308,2029,7.615298339825815,45.044422518220834,1,1,True
309,2039,7.620214770574455,45.155287619502545,3,5,False
310,2053,7.627057417018934,45.31004303683677,1,1,False
311,2063,7.631916513071252,45.42025979670306,3,5,False
312,2069,7.634820677745543,45.48626166217664,1,5,False
313,2081,7.640603826393634,45.617978911828175,1,5,True
314,2083,7.641564441260972,45.639894828976104,3,1,True
315,2087,7.643482907077201,45.68369512200168,3,5,True
316,2089,7.644440761556566,45.70557952810576,1,1,True
317,2099,7.649216319820633,45.81484475582123,3,5,False
318,2111,7.65491704784832,45.94562003064057,3,5,True
319,2113,7.655864017616056,45.967379738244816,1,1,True
320,2129,7.663407664893479,46.14108798023731,1,5,True
321,2131,7.664346632098617,46.16275555033516,3,1,True
322,2137,7.667158255319148,46.22769732530488,1,1,False
323,2141,7.669028288589683,46.2709412050371,1,5,True
324,2143,7.669961995473577,46.292547996410825,3,1,True
325,2153,7.674617497364363,46.400431032480725,1,5,False
326,2161,7.6783263565068856,46.486557196677836,1,1,False
327,2179,7.68662133494462,46.67976006793523,3,1,False
328,2203,7.697575346802343,46.93612681080534,3,1,False
329,2207,7.699389406256737,46.97871858618538,3,5,False
330,2213,7.70210434005105,47.042533945356304,1,5,False
331,2221,7.7057128238944275,47.12748667179272,1,1,False
332,2237,7.71289096149013,47.29693436154187,1,5,True
333,2239,7.713784616598755,47.31807265728392,3,1,True
334,2243,7.715569534520208,47.36032094485847,3,5,False
335,2251,7.719129840906732,47.44470465710583,3,1,False
336,2267,7.726212650507529,47.61302342846965,3,5,True
337,2269,7.727094484779841,47.634021455258214,1,1,True
338,2273,7.728855823852543,47.67598976424087,1,5,False
339,2281,7.732369222284388,47.75981574503821,1,1,False
340,2287,7.734996194022781,47.82258880487337,3,1,False
341,2293,7.737616282857904,47.885279575251516,1,1,False
342,2297,7.739359202689098,47.92702786528704,1,5,False
343,2309,7.744569809354496,48.05205510693585,1,5,True
344,2311,7.745435610274381,48.07286136688766,3,1,True
345,2333,7.75491027202143,48.30113870293329,1,5,False
346,2339,7.757478766584179,48.36320915737499,3,5,True
347,2341,7.75833346749091,48.38388161361178,1,1,True
348,2347,7.760893195851024,48.4458460551573,3,1,False
349,2351,7.762596048540069,48.48711168960263,3,5,False
350,2357,7.7651449029361315,48.54894437575342,1,5,False
351,2371,7.771067086065406,48.692915295759406,3,1,False
352,2377,7.773594467360194,48.75448697299562,1,1,False
353,2381,7.7752758464868625,48.79549159502341,1,5,True
354,2383,7.776115477098742,48.815980989835694,3,1,True
355,2389,7.77863014732581,48.877397639399746,1,1,False
356,2393,7.780303087908373,48.91829923454004,1,5,False
357,2399,7.782807262839695,48.979587585033826,3,5,False
358,2411,7.787796878181171,49.10193478876367,3,5,False
359,2417,7.790282380703483,49.16299421312742,1,5,False
360,2423,7.792761720816526,49.22397789695587,3,5,False
361,2437,7.798523053625206,49.36598018878993,1,1,False
362,2441,7.80016307039296,49.4064773081425,1,5,False
363,2447,7.802618063442671,49.467160824126545,3,5,False
364,2459,7.807510042216193,49.58830507286975,3,5,False
365,2467,7.810758116529357,49.66890375275057,3,1,False
366,2473,7.813187267521416,49.72926703662542,1,1,False
367,2477,7.814803429489359,49.76946855251722,1,5,False
368,2503,7.8252452914317745,50.02999100539596,3,1,False
369,2521,7.83241092718792,50.20956084253277,1,1,False
370,2531,7.836369760545124,50.309044912421065,3,5,False
371,2539,7.839525581704678,50.38849074937649,3,1,False
372,2543,7.841099765422119,50.428166732491874,3,5,False
373,2549,7.8434564043761155,50.48762224545735,1,5,True
374,2551,7.844240718141811,50.50742519669756,3,1,True
375,2557,7.846589975291186,50.566787519082126,1,1,False
376,2579,7.8551570058813445,50.78385570237849,3,5,False
377,2591,7.85979918056211,50.90186637049765,3,5,True
378,2593,7.860570785538664,50.92150822589606,1,1,True
379,2609,7.866722285136729,51.07837115648854,1,5,False
380,2617,7.869783902530146,51.15662224971465,1,1,False
381,2621,7.8713112033234065,51.19570294468082,1,5,False
382,2633,7.87587915949631,51.31276644267,1,5,False
383,2647,7.881182202227102,51.44900387762624,3,1,False
384,2657,7.884952945759814,51.54609587543949,1,5,True
385,2659,7.88570539124302,51.56549233741495,3,1,True
386,2663,7.887208585813932,51.60426338976267,3,5,False
387,2671,7.890208213109961,51.6817182376902,3,1,False
388,2677,7.892452043520352,51.73973328110612,1,1,False
389,2683,7.894690850425624,51.79768334587948,3,1,False
390,2687,7.8961806086154915,51.836280730777744,3,5,True
391,2689,7.896924656268864,51.85556864985669,1,1,True
392,2693,7.898411092811599,51.894122981316485,1,5,False
393,2699,7.900636613018005,51.95190083144215,3,5,False
394,2707,7.903596289614301,52.028838157314254,3,1,False
395,2711,7.905072849498666,52.06726418777925,3,5,True
396,2713,7.905810312658931,52.08646657242167,1,1,True
397,2719,7.908019444632471,52.14403129793476,3,1,False
398,2729,7.911690520708339,52.23983154643591,1,5,True
399,2731,7.912423121473705,52.25897052181568,3,1,True
400,2741,7.916078096302786,52.354560450833695,1,5,False
401,2749,7.918992488165245,52.43090691567332,1,1,False
402,2753,7.920446505142607,52.46903848937962,1,5,False
403,2767,7.925518979786926,52.602281319349636,3,1,False
404,2777,7.9291264873067995,52.69724850502159,1,5,False
405,2789,7.933438387627489,52.81098370604357,1,5,True
406,2791,7.934155233536322,52.82991576748916,3,1,True
407,2797,7.936302693201959,52.88667128870941,1,1,False
408,2801,7.937731775260109,52.92447448959697,1,5,True
409,2803,7.938445551164788,52.94336596779619,3,1,True
410,2819,7.9441374911141125,53.094255809833136,3,5,False
411,2833,7.949091499830517,53.225933528685054,1,1,False
412,2837,7.950502434808851,53.2634959423431,1,5,False
413,2843,7.952615111651,53.319789947073126,3,5,False
414,2851,7.955425088912672,53.39475629684998,3,1,False
415,2857,7.957527402230773,53.45091205957107,1,1,False
416,2861,7.95892649305011,53.48831648126533,1,5,False
417,2879,7.965198290612176,53.65631370118525,3,5,False
418,2887,7.967973179662935,53.73081052803875,3,1,False
419,2897,7.9714309977693505,53.823786563191554,1,5,False
420,2903,7.97349996402463,53.879495172096775,3,5,False
421,2909,7.975564658495202,53.9351462406472,1,5,False
422,2917,7.978310969867722,54.00925846556311,1,1,False
423,2927,7.9817332866918855,54.101755978895916,3,5,False
424,2939,7.985824666418917,54.2125446737192,3,5,False
425,2953,7.990576881743923,54.3415126767741,1,1,False
426,2957,7.9919305198524775,54.378304497290095,1,5,False
427,2963,7.993957547573565,54.433445601027316,3,5,False
428,2969,7.99598047476376,54.48853090330111,1,5,True
429,2971,7.9966538754626075,54.506880299646575,3,1,True
